,GEOID,price_$,price_$$,price_$$$,price_$$$$,MISSING,Geography,Households,pct_0-25k,pct_25k-50k,pct_50k-75k,pct_75k-100k,pct_100k-125k,pct_125k-150k,pct_> 150k,num_0-25k,num_25k-50k,num_50k-75k,num_75k-100k,num_100k-125k,num_125k-150k,num_> 150k
0,36047000100,6,11,2,0,1,"Census Tract 1, Kings County, New York",2184,0.212,0.099,0.087,0.184,0.066,0.07,0.281,463.008,216.216,190.00799999999998,401.856,144.144,152.88000000000002,613.7040000000001
1,36047000200,5,8,0,0,12,"Census Tract 2, Kings County, New York",377,0.263,0.305,0.207,0.069,0.125,0.0,0.032,99.15100000000001,114.985,78.039,26.013,47.125,0.0,12.064
2,36047000301,1,4,0,0,0,"Census Tract 3.01, Kings County, New York",1865,0.043,0.205,0.009000000000000001,0.107,0.124,0.076,0.435,80.195,382.325,16.785000000000004,199.555,231.26,141.74,811.275
3,36047000501,1,8,0,0,2,"Census Tract 5.01, Kings County, New York",1772,0.188,0.042,0.094,0.055999999999999994,0.095,0.11699999999999999,0.40700000000000003,333.136,74.424,166.568,99.23199999999999,168.34,207.32399999999998,721.2040000000001
4,36047000502,5,7,0,0,2,"Census Tract 5.02, Kings County, New York",1560,0.132,0.115,0.07400000000000001,0.107,0.099,0.07200000000000001,0.39899999999999997,205.92000000000002,179.4,115.44000000000001,166.92,154.44,112.32000000000001,622.4399999999999
5,36047000700,3,6,2,0,2,"Census Tract 7, Kings County, New York",1781,0.07,0.08900000000000001,0.076,0.07200000000000001,0.079,0.084,0.531,124.67000000000002,158.50900000000001,135.356,128.23200000000003,140.699,149.604,945.711
6,36047000900,13,10,2,0,9,"Census Tract 9, Kings County, New York",1953,0.036000000000000004,0.09699999999999999,0.078,0.12,0.102,0.038,0.527,70.308,189.44099999999997,152.334,234.35999999999999,199.206,74.214,1029.231
7,36047001100,23,16,0,0,13,"Census Tract 11, Kings County, New York",655,0.096,0.015,0.067,0.145,0.154,0.087,0.435,62.88,9.825,43.885000000000005,94.975,100.87,56.985,284.925
8,36047001300,0,3,0,0,1,"Census Tract 13, Kings County, New York",914,0.061,0.171,0.109,0.08900000000000001,0.128,0.106,0.336,55.754,156.294,99.626,81.346,116.992,96.884,307.10400000000004
9,36047001500,4,31,1,0,12,"Census Tract 15, Kings County, New York",3185,0.20800000000000002,0.122,0.085,0.076,0.113,0.08,0.314,662.48,388.57,270.725,242.06,359.90500000000003,254.8,1000.09
10,36047001800,4,3,0,0,14,"Census Tract 18, Kings County, New York",0,,,,,,,,,,,,,,
