NTACode,price,price
BK09,$,29
BK09,$$,46
BK09,$$$,6
BK09,MISSING,16
BK17,$,35
BK17,$$,54
BK17,$$$,10
BK17,$$$$,2
BK17,MISSING,21
BK19,$,22
BK19,$$,17
BK19,$$$,4
BK19,$$$$,1
BK19,MISSING,14
BK21,$,24
BK21,$$,12
BK21,MISSING,14
BK23,$,6
BK23,$$,4
BK23,$$$,2
BK23,MISSING,4
BK25,$,29
BK25,$$,41
BK25,$$$,10
BK25,$$$$,1
BK25,MISSING,24
BK26,$,17
BK26,$$,3
BK26,MISSING,12
BK27,$,16
BK27,$$,22
BK27,$$$,1
BK27,MISSING,14
BK28,$,79
BK28,$$,49
BK28,$$$,1
BK28,MISSING,50
BK29,$,42
BK29,$$,29
BK29,$$$,1
BK29,$$$$,1
BK29,MISSING,31
BK30,$,28
BK30,$$,19
BK30,$$$,2
BK30,MISSING,16
BK31,$,87
BK31,$$,126
BK31,$$$,8
BK31,$$$$,2
BK31,MISSING,53
BK32,$,94
BK32,$$,42
BK32,MISSING,64
BK33,$,45
BK33,$$,76
BK33,$$$,3
BK33,$$$$,1
BK33,MISSING,29
BK34,$,102
BK34,$$,59
BK34,$$$,3
BK34,MISSING,81
BK35,$,54
BK35,$$,33
BK35,$$$,1
BK35,MISSING,46
BK37,$,98
BK37,$$,173
BK37,$$$,13
BK37,$$$$,2
BK37,MISSING,65
BK38,$,73
BK38,$$,131
BK38,$$$,6
BK38,$$$$,1
BK38,MISSING,77
BK40,$,16
BK40,$$,24
BK40,MISSING,11
BK41,$,32
BK41,$$,16
BK41,$$$,2
BK41,MISSING,15
BK42,$,83
BK42,$$,56
BK42,$$$,3
BK42,MISSING,51
BK43,$,16
BK43,$$,27
BK43,$$$,4
BK43,MISSING,22
BK44,$,28
BK44,$$,17
BK44,$$$,2
BK44,MISSING,12
BK45,$,24
BK45,$$,20
BK45,$$$,5
BK45,MISSING,16
BK46,$,5
BK46,$$,4
BK46,$$$,1
BK46,MISSING,7
BK50,$,41
BK50,$$,14
BK50,$$$,1
BK50,MISSING,26
BK58,$,25
BK58,$$,25
BK58,$$$,4
BK58,$$$$,1
BK58,MISSING,19
BK60,$,53
BK60,$$,41
BK60,$$$,1
BK60,MISSING,47
BK61,$,69
BK61,$$,84
BK61,$$$,1
BK61,$$$$,1
BK61,MISSING,89
BK63,$,23
BK63,$$,13
BK63,$$$,1
BK63,$$$$,1
BK63,MISSING,15
BK64,$,30
BK64,$$,55
BK64,$$$,7
BK64,MISSING,18
BK68,$,38
BK68,$$,54
BK68,$$$,5
BK68,MISSING,18
BK69,$,33
BK69,$$,55
BK69,$$$,4
BK69,MISSING,25
BK72,$,7
BK72,$$,3
BK72,MISSING,2
BK73,$,78
BK73,$$,195
BK73,$$$,19
BK73,$$$$,2
BK73,MISSING,94
BK75,$,61
BK75,$$,39
BK75,MISSING,37
BK76,$,54
BK76,$$,80
BK76,$$$,6
BK76,$$$$,2
BK76,MISSING,41
BK77,$,88
BK77,$$,83
BK77,$$$,2
BK77,MISSING,81
BK78,$,53
BK78,$$,43
BK78,$$$$,1
BK78,MISSING,39
BK79,$,11
BK79,$$,8
BK79,MISSING,18
BK81,$,25
BK81,$$,8
BK81,MISSING,32
BK82,$,46
BK82,$$,21
BK82,MISSING,33
BK83,$,13
BK83,$$,4
BK83,$$$,1
BK83,MISSING,6
BK85,$,13
BK85,$$,1
BK85,MISSING,7
BK88,$,34
BK88,$$,24
BK88,$$$,7
BK88,$$$$,1
BK88,MISSING,37
BK90,$,54
BK90,$$,68
BK90,$$$,2
BK90,MISSING,41
BK91,$,28
BK91,$$,8
BK91,$$$,1
BK91,MISSING,20
BK93,$,7
BK93,$$,3
BK95,$,32
BK95,$$,9
BK95,MISSING,30
BK96,$,23
BK96,$$,12
BK96,$$$$,1
BK96,MISSING,23
BK99,$,4
BK99,$$,9
BK99,$$$,1
BK99,MISSING,4
