"","NTACode","Cluster"
"1","BK09",1
"2","BK17",1
"3","BK19",3
"4","BK21",2
"5","BK23",2
"6","BK25",1
"7","BK26",2
"8","BK27",1
"9","BK28",3
"10","BK29",3
"11","BK30",3
"12","BK31",1
"13","BK32",3
"14","BK33",1
"15","BK34",3
"16","BK35",3
"17","BK37",1
"18","BK38",1
"19","BK40",1
"20","BK41",3
"21","BK42",3
"22","BK43",1
"23","BK44",3
"24","BK45",2
"25","BK46",3
"26","BK50",2
"27","BK58",3
"28","BK60",3
"29","BK61",3
"30","BK63",2
"31","BK64",1
"32","BK68",1
"33","BK69",1
"34","BK72",3
"35","BK73",1
"36","BK75",3
"37","BK76",1
"38","BK77",3
"39","BK78",3
"40","BK79",3
"41","BK81",2
"42","BK82",2
"43","BK83",2
"44","BK85",2
"45","BK88",3
"46","BK90",3
"47","BK91",2
"48","BK93",2
"49","BK95",2
"50","BK96",2
"51","MN01",1
"52","MN03",3
"53","MN04",3
"54","MN06",3
"55","MN09",1
"56","MN11",1
"57","MN12",1
"58","MN13",1
"59","MN14",1
"60","MN15",1
"61","MN17",1
"62","MN19",1
"63","MN20",1
"64","MN21",1
"65","MN22",1
"66","MN23",1
"67","MN24",1
"68","MN25",1
"69","MN27",3
"70","MN28",3
"71","MN31",1
"72","MN32",1
"73","MN33",3
"74","MN34",3
"75","MN35",3
"76","MN36",3
"77","MN40",1
"78","MN50",1
