ID,Geography,Households,0-25k,25k-50k,50k-75k,75k-100k,100k-125k,125k-150k,> 150k
36047000100,"Census Tract 1, Kings County, New York",2184,464,217,190,402,145,153,613
36047000200,"Census Tract 2, Kings County, New York",377,99,115,78,26,47,0,12
36047000301,"Census Tract 3.01, Kings County, New York",1865,81,382,16,200,232,142,812
36047000501,"Census Tract 5.01, Kings County, New York",1772,333,74,167,99,169,208,722
36047000502,"Census Tract 5.02, Kings County, New York",1560,206,180,116,167,155,113,623
36047000700,"Census Tract 7, Kings County, New York",1781,124,158,135,129,141,149,945
36047000900,"Census Tract 9, Kings County, New York",1953,71,190,153,234,200,75,1030
36047001100,"Census Tract 11, Kings County, New York",655,63,10,44,95,101,57,285
36047001300,"Census Tract 13, Kings County, New York",914,56,156,100,81,117,97,307
36047001500,"Census Tract 15, Kings County, New York",3185,664,390,272,243,360,255,1001
36047001800,"Census Tract 18, Kings County, New York",0,0,0,0,0,0,0,0
36047002000,"Census Tract 20, Kings County, New York",381,45,109,68,51,65,21,22
36047002100,"Census Tract 21, Kings County, New York",1993,42,77,167,136,120,164,1287
36047002200,"Census Tract 22, Kings County, New York",1638,605,396,341,92,48,48,108
36047002300,"Census Tract 23, Kings County, New York",1601,1003,297,91,94,116,0,0
36047002901,"Census Tract 29.01, Kings County, New York",1320,691,427,53,68,25,0,56
36047003000,"Census Tract 30, Kings County, New York",685,143,139,70,99,67,56,111
36047003100,"Census Tract 31, Kings County, New York",1012,77,194,177,137,140,47,240
36047003300,"Census Tract 33, Kings County, New York",1773,189,217,208,195,93,154,717
36047003400,"Census Tract 34, Kings County, New York",1313,228,250,159,135,153,155,233
36047003500,"Census Tract 35, Kings County, New York",856,169,130,110,84,101,58,204
36047003600,"Census Tract 36, Kings County, New York",1814,336,354,283,145,235,173,288
36047003700,"Census Tract 37, Kings County, New York",572,45,59,46,48,47,59,268
36047003800,"Census Tract 38, Kings County, New York",620,103,104,71,78,73,37,154
36047003900,"Census Tract 39, Kings County, New York",1184,217,126,100,121,126,93,401
36047004100,"Census Tract 41, Kings County, New York",1420,78,125,170,141,199,110,597
36047004300,"Census Tract 43, Kings County, New York",1575,205,194,136,136,138,94,672
36047004400,"Census Tract 44, Kings County, New York",944,75,131,189,58,86,34,371
36047004500,"Census Tract 45, Kings County, New York",1685,131,102,162,168,165,133,824
36047004600,"Census Tract 46, Kings County, New York",522,52,85,35,80,39,23,208
36047004700,"Census Tract 47, Kings County, New York",797,70,71,115,117,65,68,291
36047004900,"Census Tract 49, Kings County, New York",986,94,45,120,50,180,74,423
36047005000,"Census Tract 50, Kings County, New York",979,66,118,133,118,128,89,327
36047005100,"Census Tract 51, Kings County, New York",1101,76,124,79,276,100,59,387
36047005201,"Census Tract 52.01, Kings County, New York",1041,483,98,105,63,24,85,183
36047005202,"Census Tract 52.02, Kings County, New York",1412,237,219,261,189,203,103,200
36047005300,"Census Tract 53, Kings County, New York",954,209,100,104,111,130,40,260
36047005400,"Census Tract 54, Kings County, New York",1558,369,247,262,124,98,100,358
36047005601,"Census Tract 56.01, Kings County, New York",1376,230,252,193,263,135,75,228
36047005602,"Census Tract 56.02, Kings County, New York",846,166,138,151,110,113,39,129
36047005800,"Census Tract 58, Kings County, New York",1410,396,323,159,147,169,80,136
36047005900,"Census Tract 59, Kings County, New York",606,107,93,128,67,73,50,88
36047006000,"Census Tract 60, Kings County, New York",958,185,89,151,122,78,113,220
36047006200,"Census Tract 62, Kings County, New York",1149,140,311,175,160,106,56,201
36047006300,"Census Tract 63, Kings County, New York",881,58,118,106,69,136,86,308
36047006400,"Census Tract 64, Kings County, New York",1361,291,216,220,222,66,130,216
36047006500,"Census Tract 65, Kings County, New York",2423,213,162,181,244,226,79,1318
36047006600,"Census Tract 66, Kings County, New York",1478,203,325,405,100,133,103,209
36047006700,"Census Tract 67, Kings County, New York",1557,92,119,229,79,99,111,828
36047006800,"Census Tract 68, Kings County, New York",1775,471,435,363,139,165,82,120
36047006900,"Census Tract 69, Kings County, New York",1686,148,68,213,202,152,195,708
36047007000,"Census Tract 70, Kings County, New York",1045,264,255,105,163,30,96,132
36047007100,"Census Tract 71, Kings County, New York",1755,635,390,200,177,71,64,218
36047007200,"Census Tract 72, Kings County, New York",596,229,177,100,38,30,22,0
36047007400,"Census Tract 74, Kings County, New York",1418,513,355,139,121,72,67,151
36047007500,"Census Tract 75, Kings County, New York",1970,190,144,208,186,145,86,1011
36047007600,"Census Tract 76, Kings County, New York",1379,464,361,164,175,63,16,136
36047007700,"Census Tract 77, Kings County, New York",2066,288,186,189,118,103,391,791
36047007800,"Census Tract 78, Kings County, New York",1482,426,346,255,119,108,73,155
36047008000,"Census Tract 80, Kings County, New York",1208,303,185,263,113,167,33,144
36047008200,"Census Tract 82, Kings County, New York",1408,502,306,165,114,120,56,145
36047008400,"Census Tract 84, Kings County, New York",1137,232,340,176,172,85,32,100
36047008500,"Census Tract 85, Kings County, New York",3114,2056,668,254,82,19,0,35
36047008600,"Census Tract 86, Kings County, New York",0,0,0,0,0,0,0,0
36047008800,"Census Tract 88, Kings County, New York",1184,133,216,318,308,85,66,58
36047009000,"Census Tract 90, Kings County, New York",906,178,398,104,90,43,17,76
36047009200,"Census Tract 92, Kings County, New York",1679,631,408,290,185,58,38,69
36047009400,"Census Tract 94, Kings County, New York",1474,391,472,221,189,57,47,97
36047009600,"Census Tract 96, Kings County, New York",1914,561,474,320,214,185,19,141
36047009800,"Census Tract 98, Kings County, New York",1692,585,389,391,155,70,58,44
36047010000,"Census Tract 100, Kings County, New York",1708,578,361,278,270,75,51,95
36047010100,"Census Tract 101, Kings County, New York",1457,284,292,242,264,162,38,175
36047010200,"Census Tract 102, Kings County, New York",1304,267,364,293,186,83,66,45
36047010400,"Census Tract 104, Kings County, New York",1586,405,498,241,140,115,97,90
36047010600,"Census Tract 106, Kings County, New York",1315,411,332,233,200,82,18,39
36047010800,"Census Tract 108, Kings County, New York",1353,467,425,210,112,63,21,55
36047011000,"Census Tract 110, Kings County, New York",627,173,111,134,77,36,29,67
36047011200,"Census Tract 112, Kings County, New York",1983,792,622,195,137,121,28,88
36047011400,"Census Tract 114, Kings County, New York",1126,271,408,147,125,108,0,67
36047011600,"Census Tract 116, Kings County, New York",1076,325,326,158,132,33,83,19
36047011700,"Census Tract 117, Kings County, New York",1231,147,142,171,249,157,55,310
