ID,Geography,Households,0-25k,25k-50k,50k-75k,75k-100k,100k-125k,125k-150k,> 150k
36047000100,"Census Tract 1, Kings County, New York",2184,0.212,0.099,0.087,0.184,0.066,0.070,0.281
36047000200,"Census Tract 2, Kings County, New York",377,0.263,0.305,0.207,0.069,0.125,0.000,0.032
36047000301,"Census Tract 3.01, Kings County, New York",1865,0.043,0.205,0.009,0.107,0.124,0.076,0.435
36047000501,"Census Tract 5.01, Kings County, New York",1772,0.188,0.042,0.094,0.056,0.095,0.117,0.407
36047000502,"Census Tract 5.02, Kings County, New York",1560,0.132,0.115,0.074,0.107,0.099,0.072,0.399
36047000700,"Census Tract 7, Kings County, New York",1781,0.070,0.089,0.076,0.072,0.079,0.084,0.531
36047000900,"Census Tract 9, Kings County, New York",1953,0.036,0.097,0.078,0.120,0.102,0.038,0.527
36047001100,"Census Tract 11, Kings County, New York",655,0.096,0.015,0.067,0.145,0.154,0.087,0.435
36047001300,"Census Tract 13, Kings County, New York",914,0.061,0.171,0.109,0.089,0.128,0.106,0.336
36047001500,"Census Tract 15, Kings County, New York",3185,0.208,0.122,0.085,0.076,0.113,0.080,0.314
36047001800,"Census Tract 18, Kings County, New York",0,,,,,,,
36047002000,"Census Tract 20, Kings County, New York",381,0.118,0.286,0.178,0.134,0.171,0.055,0.058
36047002100,"Census Tract 21, Kings County, New York",1993,0.021,0.039,0.084,0.068,0.060,0.082,0.646
36047002200,"Census Tract 22, Kings County, New York",1638,0.369,0.242,0.208,0.056,0.029,0.029,0.066
36047002300,"Census Tract 23, Kings County, New York",1601,0.626,0.186,0.057,0.059,0.072,0.000,0.000
36047002901,"Census Tract 29.01, Kings County, New York",1320,0.523,0.323,0.040,0.052,0.019,0.000,0.042
36047003000,"Census Tract 30, Kings County, New York",685,0.209,0.203,0.102,0.145,0.098,0.082,0.162
36047003100,"Census Tract 31, Kings County, New York",1012,0.076,0.192,0.175,0.135,0.138,0.046,0.237
36047003300,"Census Tract 33, Kings County, New York",1773,0.107,0.122,0.117,0.110,0.052,0.087,0.404
36047003400,"Census Tract 34, Kings County, New York",1313,0.174,0.190,0.121,0.103,0.117,0.118,0.177
36047003500,"Census Tract 35, Kings County, New York",856,0.197,0.152,0.129,0.098,0.118,0.068,0.238
36047003600,"Census Tract 36, Kings County, New York",1814,0.185,0.195,0.156,0.080,0.130,0.095,0.159
36047003700,"Census Tract 37, Kings County, New York",572,0.079,0.103,0.080,0.084,0.082,0.103,0.469
36047003800,"Census Tract 38, Kings County, New York",620,0.166,0.168,0.115,0.126,0.118,0.060,0.248
36047003900,"Census Tract 39, Kings County, New York",1184,0.183,0.106,0.084,0.102,0.106,0.079,0.339
36047004100,"Census Tract 41, Kings County, New York",1420,0.055,0.088,0.120,0.099,0.140,0.077,0.420
36047004300,"Census Tract 43, Kings County, New York",1575,0.130,0.123,0.086,0.086,0.088,0.060,0.427
36047004400,"Census Tract 44, Kings County, New York",944,0.079,0.139,0.200,0.061,0.091,0.036,0.393
36047004500,"Census Tract 45, Kings County, New York",1685,0.078,0.061,0.096,0.100,0.098,0.079,0.489
36047004600,"Census Tract 46, Kings County, New York",522,0.100,0.163,0.067,0.153,0.075,0.044,0.398
36047004700,"Census Tract 47, Kings County, New York",797,0.088,0.089,0.144,0.147,0.082,0.085,0.365
36047004900,"Census Tract 49, Kings County, New York",986,0.095,0.046,0.122,0.051,0.183,0.075,0.429
36047005000,"Census Tract 50, Kings County, New York",979,0.067,0.121,0.136,0.121,0.131,0.091,0.334
36047005100,"Census Tract 51, Kings County, New York",1101,0.069,0.113,0.072,0.251,0.091,0.054,0.351
36047005201,"Census Tract 52.01, Kings County, New York",1041,0.464,0.094,0.101,0.061,0.023,0.082,0.176
36047005202,"Census Tract 52.02, Kings County, New York",1412,0.168,0.155,0.185,0.134,0.144,0.073,0.142
36047005300,"Census Tract 53, Kings County, New York",954,0.219,0.105,0.109,0.116,0.136,0.042,0.273
36047005400,"Census Tract 54, Kings County, New York",1558,0.237,0.159,0.168,0.080,0.063,0.064,0.230
36047005601,"Census Tract 56.01, Kings County, New York",1376,0.167,0.183,0.140,0.191,0.098,0.055,0.166
36047005602,"Census Tract 56.02, Kings County, New York",846,0.196,0.163,0.178,0.130,0.134,0.046,0.152
36047005800,"Census Tract 58, Kings County, New York",1410,0.281,0.229,0.113,0.104,0.120,0.057,0.096
36047005900,"Census Tract 59, Kings County, New York",606,0.177,0.153,0.211,0.111,0.120,0.083,0.145
36047006000,"Census Tract 60, Kings County, New York",958,0.193,0.093,0.158,0.127,0.081,0.118,0.230
36047006200,"Census Tract 62, Kings County, New York",1149,0.122,0.271,0.152,0.139,0.092,0.049,0.175
36047006300,"Census Tract 63, Kings County, New York",881,0.066,0.134,0.120,0.078,0.154,0.098,0.350
36047006400,"Census Tract 64, Kings County, New York",1361,0.214,0.159,0.162,0.163,0.048,0.096,0.159
36047006500,"Census Tract 65, Kings County, New York",2423,0.088,0.067,0.075,0.101,0.093,0.033,0.544
36047006600,"Census Tract 66, Kings County, New York",1478,0.137,0.220,0.274,0.068,0.090,0.070,0.141
36047006700,"Census Tract 67, Kings County, New York",1557,0.059,0.076,0.147,0.051,0.064,0.071,0.532
36047006800,"Census Tract 68, Kings County, New York",1775,0.265,0.245,0.205,0.078,0.093,0.046,0.068
36047006900,"Census Tract 69, Kings County, New York",1686,0.088,0.040,0.126,0.120,0.090,0.116,0.420
36047007000,"Census Tract 70, Kings County, New York",1045,0.253,0.244,0.100,0.156,0.029,0.092,0.126
36047007100,"Census Tract 71, Kings County, New York",1755,0.362,0.222,0.114,0.101,0.040,0.036,0.124
36047007200,"Census Tract 72, Kings County, New York",596,0.384,0.297,0.168,0.064,0.050,0.037,0.000
36047007400,"Census Tract 74, Kings County, New York",1418,0.362,0.250,0.098,0.085,0.051,0.047,0.106
36047007500,"Census Tract 75, Kings County, New York",1970,0.096,0.073,0.106,0.094,0.074,0.044,0.513
36047007600,"Census Tract 76, Kings County, New York",1379,0.336,0.262,0.119,0.127,0.046,0.012,0.099
36047007700,"Census Tract 77, Kings County, New York",2066,0.139,0.090,0.091,0.057,0.050,0.189,0.383
36047007800,"Census Tract 78, Kings County, New York",1482,0.287,0.233,0.172,0.080,0.073,0.049,0.105
36047008000,"Census Tract 80, Kings County, New York",1208,0.251,0.153,0.218,0.094,0.138,0.027,0.119
36047008200,"Census Tract 82, Kings County, New York",1408,0.357,0.217,0.117,0.081,0.085,0.040,0.103
36047008400,"Census Tract 84, Kings County, New York",1137,0.204,0.299,0.155,0.151,0.075,0.028,0.088
36047008500,"Census Tract 85, Kings County, New York",3114,0.660,0.215,0.082,0.026,0.006,0.000,0.011
36047008600,"Census Tract 86, Kings County, New York",0,,,,,,,
36047008800,"Census Tract 88, Kings County, New York",1184,0.112,0.182,0.269,0.260,0.072,0.056,0.049
36047009000,"Census Tract 90, Kings County, New York",906,0.196,0.439,0.115,0.099,0.047,0.019,0.084
36047009200,"Census Tract 92, Kings County, New York",1679,0.376,0.243,0.173,0.110,0.035,0.023,0.041
36047009400,"Census Tract 94, Kings County, New York",1474,0.265,0.320,0.150,0.128,0.039,0.032,0.066
36047009600,"Census Tract 96, Kings County, New York",1914,0.293,0.248,0.167,0.112,0.097,0.010,0.074
36047009800,"Census Tract 98, Kings County, New York",1692,0.346,0.230,0.231,0.092,0.041,0.034,0.026
36047010000,"Census Tract 100, Kings County, New York",1708,0.338,0.211,0.163,0.158,0.044,0.030,0.056
36047010100,"Census Tract 101, Kings County, New York",1457,0.195,0.200,0.166,0.181,0.111,0.026,0.120
36047010200,"Census Tract 102, Kings County, New York",1304,0.205,0.279,0.225,0.143,0.064,0.051,0.035
36047010400,"Census Tract 104, Kings County, New York",1586,0.255,0.314,0.152,0.088,0.073,0.061,0.057
36047010600,"Census Tract 106, Kings County, New York",1315,0.313,0.252,0.177,0.152,0.062,0.014,0.030
36047010800,"Census Tract 108, Kings County, New York",1353,0.345,0.314,0.155,0.083,0.047,0.016,0.041
36047011000,"Census Tract 110, Kings County, New York",627,0.276,0.177,0.214,0.123,0.057,0.046,0.107
36047011200,"Census Tract 112, Kings County, New York",1983,0.399,0.314,0.098,0.069,0.061,0.014,0.044
36047011400,"Census Tract 114, Kings County, New York",1126,0.241,0.362,0.131,0.111,0.096,0.000,0.060
36047011600,"Census Tract 116, Kings County, New York",1076,0.302,0.303,0.147,0.123,0.031,0.077,0.018
36047011700,"Census Tract 117, Kings County, New York",1231,0.119,0.115,0.139,0.202,0.128,0.045,0.252
36047011800,"Census Tract 118, Kings County, New York",577,0.366,0.293,0.116,0.078,0.062,0.010,0.075
36047011900,"Census Tract 119, Kings County, New York",653,0.124,0.104,0.168,0.175,0.086,0.074,0.270
36047012000,"Census Tract 120, Kings County, New York",323,0.359,0.207,0.173,0.099,0.037,0.009,0.115
36047012100,"Census Tract 121, Kings County, New York",784,0.128,0.129,0.098,0.139,0.133,0.101,0.273
36047012200,"Census Tract 122, Kings County, New York",1610,0.313,0.301,0.171,0.135,0.032,0.024,0.024
36047012600,"Census Tract 126, Kings County, New York",895,0.264,0.254,0.143,0.130,0.070,0.027,0.113
36047012700,"Census Tract 127, Kings County, New York",1621,0.322,0.159,0.143,0.056,0.073,0.034,0.213
36047012801,"Census Tract 128.01, Kings County, New York",732,0.329,0.243,0.189,0.098,0.040,0.049,0.052
36047012901,"Census Tract 129.01, Kings County, New York",1033,0.106,0.102,0.118,0.134,0.095,0.110,0.335
36047012902,"Census Tract 129.02, Kings County, New York",832,0.075,0.153,0.063,0.159,0.147,0.067,0.338
36047013000,"Census Tract 130, Kings County, New York",1763,0.202,0.212,0.153,0.151,0.062,0.068,0.151
36047013100,"Census Tract 131, Kings County, New York",1849,0.083,0.130,0.112,0.088,0.068,0.101,0.418
36047013200,"Census Tract 132, Kings County, New York",656,0.279,0.201,0.248,0.063,0.055,0.035,0.119
36047013300,"Census Tract 133, Kings County, New York",1841,0.106,0.034,0.064,0.092,0.091,0.076,0.536
36047013400,"Census Tract 134, Kings County, New York",1494,0.201,0.112,0.191,0.115,0.106,0.101,0.173
36047013500,"Census Tract 135, Kings County, New York",1507,0.093,0.082,0.086,0.105,0.101,0.066,0.467
36047013600,"Census Tract 136, Kings County, New York",1413,0.157,0.190,0.181,0.076,0.074,0.113,0.207
36047013700,"Census Tract 137, Kings County, New York",1459,0.200,0.066,0.091,0.090,0.173,0.057,0.322
36047013800,"Census Tract 138, Kings County, New York",1260,0.242,0.202,0.164,0.111,0.063,0.079,0.139
36047013900,"Census Tract 139, Kings County, New York",1389,0.111,0.091,0.094,0.100,0.119,0.125,0.360
36047014000,"Census Tract 140, Kings County, New York",767,0.160,0.188,0.163,0.106,0.143,0.063,0.177
