,NTACode,NTAName,Households,0-25k,25k-50k,50k-75k,75k-100k,100k-125k,125k-150k,> 150k,MeanLifeExp
0,BK88,Borough Park,26710,0.33103706476974915,0.2678023212280045,0.13216023961063272,0.08929239985024336,0.06360913515537252,0.03654062149007862,0.07955821789591913,82.60000000000001
6,BK25,Homecrest,15528,0.2576635754765585,0.21780010303967026,0.1539155074703761,0.10394126738794436,0.10729005667181865,0.04237506439979392,0.11701442555383823,81.71875000000001
12,BK44,Madison,14900,0.21476510067114093,0.19080536912751678,0.1665771812080537,0.11865771812080537,0.1002013422818792,0.056711409395973154,0.15228187919463088,82.76
13,BK41,Kensington-Ocean Parkway,12228,0.24378475629702323,0.21949623814196925,0.15611710827608766,0.13141969250899574,0.0964180569185476,0.05356558717697089,0.09919856068040563,80.875
14,BK95,Erasmus,10137,0.2716780112459308,0.26921179836243464,0.1631646443721022,0.12459307487422314,0.06116207951070336,0.052086416099437705,0.0581039755351682,81.39999999999999
16,BK69,Clinton Hill,16212,0.1815321983715766,0.15833950160375032,0.15482358746607452,0.1426720947446336,0.10140636565507032,0.06692573402417962,0.19430051813471502,80.22
21,BK43,Midwood,18840,0.2960191082802548,0.20695329087048833,0.15143312101910827,0.09357749469214437,0.07627388535031847,0.04347133757961783,0.13227176220806794,82.52222222222223
22,BK26,Gravesend,11445,0.34521625163826997,0.22560069899519442,0.12861511577107906,0.10083005679335955,0.059065093927479245,0.05216251638269987,0.08851026649191787,81.5875
23,BK29,Bensonhurst East,22373,0.2743932418540205,0.2248245653242748,0.16779153443883252,0.10490323157377196,0.08027533187324007,0.045858847718231795,0.1019532472176284,83.35294117647058
24,BK72,Williamsburg,8339,0.4739177359395611,0.24343446456409643,0.12267657992565056,0.06727425350761482,0.03153855378342727,0.01451013310948555,0.046648279170164286,78.08333333333333
25,BK75,Bedford,26135,0.35041132580830303,0.19977042280466806,0.1467763535488808,0.08773675148268606,0.05919265352974938,0.046986799311268417,0.10912569351444423,77.6058823529412
26,BK35,Stuyvesant Heights,25660,0.32665627435697586,0.20759937646141854,0.13838659392049882,0.10771628994544037,0.07365549493374902,0.051753702260327356,0.09423226812159002,76.96111111111111
27,BK79,Ocean Hill,13004,0.3833435865887419,0.2535373731159643,0.1605659796985543,0.07974469394032606,0.04936942479237158,0.02960627499231006,0.043832666871731776,74.82222222222224
28,BK61,Crown Heights North,43928,0.33862229102167185,0.21817519577490438,0.1535922418503005,0.09663540338736114,0.06531141868512111,0.048556729193225276,0.07910672008741577,77.82592592592592
29,BK63,Crown Heights South,15110,0.27200529450694905,0.23487756452680345,0.199867637326274,0.1156849768365321,0.07776307081403044,0.03778954334877564,0.06201191264063534,79.95555555555556
30,BK96,Rugby-Remsen Village,20724,0.28836132020845395,0.23750241266164834,0.1734221192819919,0.11812391430225826,0.06847133757961783,0.048253232966608765,0.06586566299942097,78.48823529411764
32,BK93,Starrett City,6485,0.49560524286815727,0.256437933693138,0.16283731688511952,0.04302235929067078,0.027602158828064764,0.006322282189668466,0.008172706245181188,76.3
33,BK91,East Flatbush-Farragut,18443,0.21444450469012633,0.25830938567478173,0.19015344575177573,0.13235373854578972,0.08686222415008404,0.054437998156482134,0.06343870303096026,79.55555555555556
34,BK78,Bushwick South,26616,0.34945145776976255,0.2075819056206793,0.1529906822963631,0.10174331229335738,0.0686429215509468,0.04422152088969041,0.07536819957920048,77.67368421052632
35,BK77,Bushwick North,19367,0.29002943150720295,0.20741467444622297,0.16951515464449837,0.10610832860019621,0.0841637837558734,0.05344142097382145,0.08932720607218464,80.09166666666665
37,BK46,Ocean Parkway South,6855,0.26418672501823487,0.2037928519328957,0.15302698760029176,0.09204959883296863,0.07964989059080962,0.037199124726477024,0.1700948212983224,82.16250000000001
38,BK68,Fort Greene,12863,0.242322941770971,0.17647516131540075,0.1303739407603203,0.11676902744305372,0.08310658477804556,0.05107673171110939,0.19987561222109929,79.16
43,BK30,Dyker Heights,14720,0.2451086956521739,0.2045516304347826,0.17880434782608695,0.0999320652173913,0.09144021739130435,0.053125,0.12703804347826086,82.48235294117647
44,BK23,West Brighton,8401,0.3772169979764314,0.2130698726342102,0.14879181049875015,0.11451017735983811,0.05094631591477205,0.03166289727413403,0.06380192834186406,81.66666666666667
60,BK85,East New York (Pennsylvania Ave),10270,0.4425511197663096,0.21012658227848102,0.14586173320350534,0.0813047711781889,0.044401168451801365,0.03135345666991236,0.044401168451801365,75.775
62,BK27,Bath Beach,11204,0.23839700107104606,0.2006426276329882,0.16663691538736167,0.12245626561942163,0.09505533737950732,0.05703320242770439,0.11977865048197073,81.71818181818182
63,BK28,Bensonhurst West,30079,0.24492170617374248,0.2479470727085342,0.15509159214069618,0.12287642541307889,0.07184414375477909,0.048572093487150504,0.10874696632201869,82.25
76,BK73,North Side-South Side,23862,0.19256558544966892,0.1673371888358059,0.1136535076690973,0.10585868745285391,0.08871846450423267,0.0703210124884754,0.2615455535998659,80.35454545454546
77,BK81,Brownsville,21467,0.5556435459076723,0.21614571202310523,0.1139889132156333,0.05221968602972003,0.030977779848139004,0.014440769553267806,0.016583593422462385,74.92666666666668
89,BK34,Sunset Park East,19625,0.3005859872611465,0.27036942675159237,0.1707515923566879,0.11923566878980892,0.057121019108280255,0.028738853503184714,0.05319745222929936,80.99333333333333
93,BK60,Prospect Lefferts Gardens-Wingate,26574,0.27436592157748174,0.24712124633100022,0.17118235869647022,0.11673063897042221,0.06438624219161586,0.04432904342590502,0.08188454880710469,80.10588235294117
95,BK21,Seagate-Coney Island,11236,0.4789070843716625,0.20336418654325383,0.12878248487006053,0.06327874688501246,0.0571377714489142,0.02135991456034176,0.04716981132075472,76.39999999999999
100,BK40,Windsor Terrace,9260,0.14049676025917926,0.11943844492440604,0.13336933045356372,0.13747300215982722,0.1265658747300216,0.08628509719222462,0.25637149028077755,81.61666666666666
101,BK64,Prospect Heights,9419,0.14555685316912623,0.14322114874190467,0.11360016986941289,0.11115829705913578,0.09618855504830662,0.09608238666525108,0.2941925894468627,79.7
103,BK50,Canarsie,28895,0.20228413220280325,0.20079598546461325,0.16189652188960027,0.1488838899463575,0.11202630212839591,0.06052950337428621,0.1135836649939436,79.01333333333332
104,BK42,Flatbush,38532,0.25443786982248523,0.22700612477940413,0.19163292847503374,0.11974462784179384,0.07463926087407868,0.03913630229419703,0.09340288591300737,80.3076923076923
105,BK58,Flatlands,23087,0.1578810586044094,0.18867761077662754,0.1697492095118465,0.15359293108675878,0.11396023736301815,0.07047256031532897,0.14566639234201065,80.59599999999999
106,BK32,Sunset Park West,16677,0.2761288001439108,0.2324758649637225,0.16363854410265635,0.10985189182706721,0.08652635366073035,0.035258139953229,0.09612040534868381,80.69285714285714
113,BK37,Park Slope-Gowanus,31067,0.09376508835742106,0.0933466379116104,0.10058904947371809,0.11613609296037596,0.10763833006083626,0.08024592010815335,0.4082788811278849,81.965
117,BK82,East New York,33393,0.38328392178001375,0.23825352618812326,0.14005929386398347,0.09720600125774863,0.05722756266283353,0.031204144581199654,0.052765549666097686,75.52799999999999
118,BK83,Cypress Hills-City Line,14481,0.29272840273461775,0.22298183827083765,0.2122781575858021,0.11269939921276155,0.05365651543401699,0.04578413093018438,0.059871555831779576,78.64999999999999
122,BK31,Bay Ridge,33320,0.19774909963985593,0.18910564225690277,0.16236494597839135,0.11365546218487395,0.0914765906362545,0.075,0.1706482593037215,81.1111111111111
145,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,26150,0.2538049713193117,0.20260038240917783,0.15162523900573613,0.10829827915869981,0.09116634799235182,0.06470363288718929,0.12780114722753347,80.48888888888888
146,BK19,Brighton Beach,14557,0.39582331524352543,0.18527169059558976,0.15875523802981384,0.06800851823864808,0.04678161709143368,0.03579034141650065,0.10956927938448856,80.6111111111111
155,BK90,East Williamsburg,16075,0.2840435458786936,0.16572317262830483,0.12367029548989114,0.11657853810264386,0.08740279937791602,0.06506998444790046,0.1575116640746501,80.32
161,BK09,Brooklyn Heights-Cobble Hill,11115,0.11506972559604138,0.10805218173639226,0.0699055330634278,0.11075123706702654,0.09374718848403059,0.07557354925775979,0.4269005847953216,84.71666666666665
162,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,18161,0.20252188756125764,0.11833048840922857,0.09746159352458565,0.0861736688508342,0.09173503661692638,0.06844336765596608,0.3353339573812015,79.24
163,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,16591,0.12524862877463686,0.16882647218371405,0.1407992284973781,0.14465674160689532,0.12295823036586101,0.08576939304442167,0.211741305527093,82.42105263157895
169,BK33,Carroll Gardens-Columbia Street-Red Hook,18140,0.19757442116868798,0.10650496141124587,0.10336273428886439,0.08638368246968027,0.07943770672546857,0.06488423373759647,0.36185226019845645,80.35454545454546
170,BK76,Greenpoint,16223,0.20020957899278802,0.13684275411452876,0.15188312889108058,0.13597978179128398,0.10552918695678974,0.0869136411267953,0.18264192812673366,80.16363636363637
