,NTACode,NTAName,0-25k,25-50k,50-75k,75-100k,100-125k,125-150k,> 150k,MeanLifeExp
0,MN06,Manhattanville,0.41,0.25,0.11,0.08,0.06,0.03,0.05,79.975
1,MN15,Clinton,0.19,0.15,0.1,0.11,0.1,0.07,0.29,81.76666666666667
2,MN27,Chinatown,0.38,0.19,0.13,0.1,0.05,0.04,0.12,82.9
3,MN25,Battery Park City-Lower Manhattan,0.11,0.06,0.07,0.08,0.11,0.08,0.5,83.86666666666667
4,MN14,Lincoln Square,0.14,0.08,0.09,0.1,0.08,0.07,0.44,86.94285714285715
5,MN17,Midtown-Midtown South,0.18,0.1,0.07,0.08,0.08,0.08,0.41,82.18333333333332
6,MN40,Upper East Side-Carnegie Hill,0.08,0.08,0.08,0.09,0.08,0.05,0.54,86.45833333333333
7,MN03,Central Harlem North-Polo Grounds,0.37,0.22,0.15,0.09,0.06,0.04,0.07,76.44
8,MN32,Yorkville,0.12,0.1,0.13,0.12,0.09,0.09,0.34,84.52222222222223
9,MN28,Lower East Side,0.45,0.19,0.11,0.05,0.07,0.03,0.1,80.32142857142857
10,MN21,Gramercy,0.12,0.09,0.11,0.1,0.11,0.08,0.39,82.55000000000001
11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
12,MN22,East Village,0.22,0.17,0.12,0.1,0.1,0.07,0.23,80.44999999999999
13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667
14,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,0.17,0.1,0.1,0.08,0.09,0.07,0.39,81.62727272727273
15,MN23,West Village,0.1,0.11,0.1,0.09,0.08,0.07,0.44,84.76666666666667
16,MN12,Upper West Side,0.17,0.11,0.11,0.09,0.09,0.06,0.37,84.05624999999999
17,MN50,Stuyvesant Town-Cooper Village,0.12,0.14,0.09,0.13,0.16,0.06,0.3,85.5
18,MN20,Murray Hill-Kips Bay,0.15,0.12,0.13,0.09,0.11,0.08,0.33,82.74285714285715
19,MN04,Hamilton Heights,0.28,0.24,0.18,0.11,0.06,0.05,0.09,79.91428571428571
20,MN36,Washington Heights South,0.33,0.2,0.17,0.09,0.07,0.05,0.07,82.90909090909092
21,MN35,Washington Heights North,0.26,0.23,0.17,0.13,0.07,0.05,0.09,82.5
22,MN09,Morningside Heights,0.3,0.14,0.13,0.08,0.07,0.05,0.23,80.7375
23,MN33,East Harlem South,0.39,0.2,0.13,0.09,0.05,0.03,0.11,77.94000000000001
24,MN19,Turtle Bay-East Midtown,0.1,0.09,0.12,0.09,0.09,0.07,0.44,85.16999999999999
25,MN31,Lenox Hill-Roosevelt Island,0.12,0.11,0.12,0.11,0.09,0.07,0.38,81.75555555555556
27,MN11,Central Harlem South,0.27,0.18,0.14,0.09,0.08,0.05,0.18,79.27000000000001
28,MN34,East Harlem North,0.47,0.22,0.13,0.07,0.04,0.02,0.05,76.61818181818181
