,NTACode,price_1,price_2,price_3,price_4,MISSING,NTAName,Households,pct_0-25k,pct_25k-50k,pct_50k-75k,pct_75k-100k,pct_100k-125k,pct_125k-150k,pct_> 150k,latitude,longitude,geometry,num_0-25k,num_25k-50k,num_50k-75k,num_75k-100k,num_100k-125k,num_125k-150k,num_> 150k
0,BK09,0.29896907216494845,0.4742268041237113,0.061855670103092786,0.0,0.16494845360824742,Brooklyn Heights-Cobble Hill,11115,0.115069725596041,0.108052181736392,0.069905533063428,0.110751237067027,0.093747188484031,0.07557354925776,0.426900584795322,40.69926820000001,-73.9923109,POINT (-73.99231090000001 40.69926820000001),1278.9999999999957,1200.999999999997,777.0000000000023,1231.000000000005,1042.0000000000045,840.0000000000024,4745.000000000004
1,BK17,0.28688524590163933,0.4426229508196721,0.08196721311475409,0.01639344262295082,0.1721311475409836,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,26150,0.253804971319312,0.202600382409178,0.151625239005736,0.1082982791587,0.091166347992352,0.064703632887189,0.127801147227533,40.57709038,-73.95266059999999,POINT (-73.95266059999999 40.57709038),6637.000000000009,5298.000000000005,3964.9999999999964,2832.000000000005,2384.000000000005,1691.9999999999923,3341.9999999999877
2,BK19,0.3793103448275862,0.29310344827586204,0.06896551724137931,0.017241379310344827,0.2413793103448276,Brighton Beach,14557,0.395823315243525,0.18527169059559,0.158755238029814,0.068008518238648,0.046781617091434,0.035790341416501,0.109569279384489,40.57672,-73.96427,POINT (-73.96427 40.57672),5761.999999999994,2697.0000000000036,2311.0000000000023,989.9999999999989,681.0000000000047,521.000000000005,1595.0000000000064
3,BK21,0.48,0.24,0.0,0.0,0.28,Seagate-Coney Island,11236,0.478907084371663,0.203364186543254,0.128782484870061,0.063278746885012,0.057137771448914,0.021359914560342,0.047169811320755,40.578805,-73.983811,POINT (-73.983811 40.578805),5381.0000000000055,2285.000000000002,1447.0000000000055,710.9999999999949,641.9999999999977,240.0000000000027,530.0000000000032
4,BK23,0.375,0.25,0.125,0.0,0.25,West Brighton,8401,0.377216997976431,0.21306987263421,0.14879181049875,0.114510177359838,0.050946315914772,0.031662897274134,0.063801928341864,40.5791945,-73.9806538,POINT (-73.9806538 40.5791945),3168.999999999997,1789.9999999999984,1249.9999999999989,961.999999999999,427.99999999999955,265.9999999999998,535.9999999999995
5,BK25,0.2761904761904762,0.3904761904761905,0.09523809523809523,0.009523809523809525,0.22857142857142856,Homecrest,15528,0.257663575476558,0.21780010303967,0.153915507470376,0.103941267387944,0.107290056671819,0.042375064399794,0.117014425553838,40.59088,-73.96948,POINT (-73.96948 40.59088),4000.9999999999927,3381.999999999996,2389.9999999999986,1613.9999999999945,1666.0000000000055,658.0000000000013,1816.9999999999964
6,BK26,0.53125,0.09375,0.0,0.0,0.375,Gravesend,11445,0.34521625163827,0.225600698995194,0.128615115771079,0.10083005679336,0.059065093927479,0.0521625163827,0.088510266491918,40.586215,-73.987709,POINT (-73.987709 40.586215),3951.0000000000005,2581.9999999999955,1471.9999999999993,1154.0000000000052,675.9999999999972,597.0000000000015,1013.0000000000015
7,BK27,0.3018867924528302,0.41509433962264153,0.018867924528301886,0.0,0.2641509433962264,Bath Beach,11204,0.238397001071046,0.200642627632988,0.166636915387362,0.122456265619422,0.095055337379507,0.057033202427704,0.119778650481971,40.61246,-74.01177,POINT (-74.01177 40.61246),2670.9999999999995,2247.9999999999977,1867.0000000000039,1372.000000000004,1064.9999999999964,638.9999999999957,1342.0000000000032
8,BK28,0.441340782122905,0.2737430167597765,0.00558659217877095,0.0,0.27932960893854747,Bensonhurst West,30079,0.244921706173742,0.247947072708534,0.155091592140696,0.122876425413079,0.071844143754779,0.048572093487151,0.108746966322019,40.60520893,-73.9999253,POINT (-73.9999253 40.60520893),7366.999999999986,7457.9999999999945,4664.999999999995,3696.000000000003,2160.9999999999977,1461.0000000000148,3271.0000000000095
9,BK29,0.40384615384615385,0.27884615384615385,0.009615384615384616,0.009615384615384616,0.2980769230769231,Bensonhurst East,22373,0.27439324185402,0.224824565324275,0.167791534438833,0.104903231573772,0.08027533187324,0.045858847718232,0.101953247217628,40.6002,-73.9904,POINT (-73.99039999999999 40.6002),6138.999999999989,5030.000000000005,3754.0000000000105,2347.000000000001,1795.9999999999984,1026.0000000000045,2280.9999999999914
10,BK30,0.4307692307692308,0.2923076923076923,0.03076923076923077,0.0,0.24615384615384617,Dyker Heights,14720,0.245108695652174,0.204551630434783,0.178804347826087,0.099932065217391,0.091440217391304,0.053125,0.127038043478261,40.61494936,-74.02345318,POINT (-74.02345318 40.61494936),3608.0000000000014,3011.000000000006,2632.000000000001,1470.9999999999955,1345.9999999999948,782.0,1870.000000000002
11,BK31,0.31521739130434784,0.45652173913043476,0.028985507246376812,0.007246376811594203,0.19202898550724637,Bay Ridge,33320,0.197749099639856,0.189105642256903,0.162364945978391,0.113655462184874,0.091476590636255,0.075,0.170648259303721,40.63416536,-74.02649098,POINT (-74.02649098000001 40.63416536),6589.000000000003,6301.000000000007,5409.999999999988,3787.000000000002,3048.000000000017,2499.0,5685.999999999984
12,BK32,0.47,0.21,0.0,0.0,0.32,Sunset Park West,16677,0.276128800143911,0.232475864963722,0.163638544102656,0.109851891827067,0.08652635366073,0.035258139953229,0.096120405348684,40.66448,-73.99773,POINT (-73.99773 40.66448),4605.000000000004,3876.999999999992,2728.999999999994,1831.9999999999964,1442.999999999994,588.0,1603.0000000000032
13,BK33,0.2922077922077922,0.4935064935064935,0.01948051948051948,0.006493506493506494,0.18831168831168832,Carroll Gardens-Columbia Street-Red Hook,18140,0.197574421168688,0.106504961411246,0.103362734288864,0.08638368246968,0.079437706725469,0.064884233737596,0.361852260198456,40.6802299,-74.0065178,POINT (-74.0065178 40.6802299),3584.0000000000005,1932.0000000000025,1874.999999999993,1566.9999999999952,1441.0000000000077,1176.9999999999914,6563.999999999992
14,BK34,0.4163265306122449,0.24081632653061225,0.012244897959183673,0.0,0.3306122448979592,Sunset Park East,19625,0.300585987261146,0.270369426751592,0.170751592356688,0.119235668789809,0.05712101910828,0.028738853503185,0.053197452229299,40.651455,-74.00358438,POINT (-74.00358438000001 40.651455),5898.99999999999,5305.999999999993,3351.000000000002,2340.000000000002,1120.999999999995,564.0000000000056,1043.999999999993
15,BK35,0.40298507462686567,0.2462686567164179,0.007462686567164179,0.0,0.34328358208955223,Stuyvesant Heights,25660,0.326656274356976,0.207599376461419,0.138386593920499,0.10771628994544,0.073655494933749,0.051753702260327,0.09423226812159,40.684476,-73.929102,POINT (-73.929102 40.684476),8382.000000000004,5327.000000000011,3551.0000000000045,2763.9999999999905,1889.9999999999993,1327.999999999991,2417.999999999999
16,BK37,0.2792022792022792,0.4928774928774929,0.037037037037037035,0.005698005698005698,0.18518518518518517,Park Slope-Gowanus,31067,0.093765088357421,0.09334663791161,0.100589049473718,0.116136092960376,0.107638330060836,0.080245920108153,0.408278881127885,40.6687008,-73.9936051,POINT (-73.9936051 40.6687008),2912.999999999998,2899.999999999988,3124.999999999997,3608.000000000001,3343.999999999992,2492.999999999989,12684.000000000004
17,BK38,0.2534722222222222,0.4548611111111111,0.020833333333333332,0.003472222222222222,0.2673611111111111,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,18161,0.202521887561258,0.118330488409229,0.097461593524586,0.086173668850834,0.091735036616926,0.068443367655966,0.335333957381201,40.69490597,-73.98332945,POINT (-73.98332945 40.69490597),3678.0000000000064,2149.0000000000077,1770.0000000000064,1564.9999999999961,1665.9999999999932,1242.9999999999984,6089.999999999991
18,BK40,0.3137254901960784,0.47058823529411764,0.0,0.0,0.21568627450980393,Windsor Terrace,9260,0.140496760259179,0.119438444924406,0.133369330453564,0.137473002159827,0.126565874730022,0.086285097192225,0.256371490280778,40.6601105,-73.9835205,POINT (-73.9835205 40.6601105),1300.9999999999977,1105.9999999999995,1235.0000000000027,1272.999999999998,1172.0000000000039,799.0000000000035,2374.000000000004
