,NTACode,NTAName,pct_0_25k,pct_25k_50k,pct_50k_75k,pct_75k_100k,pct_100k_125k,pct_125k_150k,pct_> 150k,MeanLifeExp,price_1,price_2,price_3,price_4,MISSING
0,MN06,Manhattanville,0.41,0.25,0.11,0.08,0.06,0.03,0.05,79.975,0.3409090909090909,0.3181818181818182,0.0,0.0,0.3409090909090909
1,MN15,Clinton,0.19,0.15,0.1,0.11,0.1,0.07,0.29,81.76666666666667,0.2191780821917808,0.5146771037181996,0.07240704500978473,0.01761252446183953,0.1761252446183953
2,MN27,Chinatown,0.38,0.19,0.13,0.1,0.05,0.04,0.12,82.9,0.3295880149812734,0.37640449438202245,0.056179775280898875,0.0056179775280898875,0.23220973782771537
3,MN25,Battery Park City-Lower Manhattan,0.11,0.06,0.07,0.08,0.11,0.08,0.5,83.86666666666667,0.3194444444444444,0.39087301587301587,0.05357142857142857,0.01984126984126984,0.21626984126984128
4,MN14,Lincoln Square,0.14,0.08,0.09,0.1,0.08,0.07,0.44,86.94285714285715,0.19875776397515527,0.422360248447205,0.14906832298136646,0.062111801242236024,0.16770186335403728
5,MN17,Midtown-Midtown South,0.18,0.1,0.07,0.08,0.08,0.08,0.41,82.18333333333331,0.23590408295528192,0.4335709656513286,0.09526895657809462,0.0304601425793908,0.20479585223590407
6,MN40,Upper East Side-Carnegie Hill,0.08,0.08,0.08,0.09,0.08,0.05,0.54,86.45833333333331,0.17857142857142858,0.44841269841269843,0.17857142857142858,0.07539682539682539,0.11904761904761904
7,MN03,Central Harlem North-Polo Grounds,0.37,0.22,0.15,0.09,0.06,0.04,0.07,76.44,0.40714285714285714,0.32142857142857145,0.007142857142857143,0.007142857142857143,0.2571428571428571
8,MN32,Yorkville,0.12,0.1,0.13,0.12,0.09,0.09,0.34,84.52222222222224,0.22388059701492538,0.5323383084577115,0.09950248756218906,0.009950248756218905,0.13432835820895522
9,MN28,Lower East Side,0.45,0.19,0.11,0.05,0.07,0.03,0.1,80.32142857142857,0.38095238095238093,0.32653061224489793,0.013605442176870748,0.006802721088435374,0.272108843537415
10,MN21,Gramercy,0.12,0.09,0.11,0.1,0.11,0.08,0.39,82.55000000000003,0.3224489795918367,0.42448979591836733,0.061224489795918366,0.004081632653061225,0.18775510204081633
11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142,0.3465346534653465,0.40594059405940597,0.0,0.0,0.24752475247524752
12,MN22,East Village,0.22,0.17,0.12,0.1,0.1,0.07,0.23,80.44999999999997,0.1954225352112676,0.5264084507042254,0.05985915492957746,0.01584507042253521,0.20246478873239437
13,MN24,SoHo-TriBeCa-Civic Center-Little Italy,0.15,0.09,0.09,0.09,0.08,0.05,0.45,82.66666666666667,0.19852941176470587,0.45441176470588235,0.10882352941176471,0.023529411764705882,0.21470588235294116
14,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,0.17,0.1,0.1,0.08,0.09,0.07,0.39,81.62727272727273,0.20871862615587847,0.4332892998678996,0.083223249669749,0.03302509907529723,0.24174372523117568
15,MN23,West Village,0.1,0.11,0.1,0.09,0.08,0.07,0.44,84.76666666666667,0.17018469656992086,0.4788918205804749,0.12401055408970976,0.026385224274406333,0.20052770448548812
16,MN12,Upper West Side,0.17,0.11,0.11,0.09,0.09,0.06,0.37,84.05624999999998,0.2289156626506024,0.5301204819277109,0.04216867469879518,0.006024096385542169,0.1927710843373494
17,MN50,Stuyvesant Town-Cooper Village,0.12,0.14,0.09,0.13,0.16,0.06,0.3,85.5,0.5,0.5,0.0,0.0,0.0
18,MN20,Murray Hill-Kips Bay,0.15,0.12,0.13,0.09,0.11,0.08,0.33,82.74285714285716,0.2542857142857143,0.48857142857142855,0.06,0.037142857142857144,0.16
19,MN04,Hamilton Heights,0.28,0.24,0.18,0.11,0.06,0.05,0.09,79.91428571428571,0.46296296296296297,0.28703703703703703,0.0,0.0,0.25
20,MN36,Washington Heights South,0.33,0.2,0.17,0.09,0.07,0.05,0.07,82.90909090909092,0.5099337748344371,0.23841059602649006,0.006622516556291391,0.006622516556291391,0.23841059602649006
21,MN35,Washington Heights North,0.26,0.23,0.17,0.13,0.07,0.05,0.09,82.5,0.3793103448275862,0.31896551724137934,0.008620689655172414,0.0,0.29310344827586204
22,MN09,Morningside Heights,0.3,0.14,0.13,0.08,0.07,0.05,0.23,80.7375,0.37888198757763975,0.45962732919254656,0.012422360248447204,0.006211180124223602,0.14285714285714285
23,MN33,East Harlem South,0.39,0.2,0.13,0.09,0.05,0.03,0.11,77.94000000000003,0.4338235294117647,0.3235294117647059,0.0,0.014705882352941176,0.22794117647058823
24,MN19,Turtle Bay-East Midtown,0.1,0.09,0.12,0.09,0.09,0.07,0.44,85.16999999999999,0.23482428115015974,0.41533546325878595,0.09904153354632587,0.03035143769968051,0.22044728434504793
25,MN31,Lenox Hill-Roosevelt Island,0.12,0.11,0.12,0.11,0.09,0.07,0.38,81.75555555555556,0.24334600760456274,0.49429657794676807,0.07604562737642585,0.019011406844106463,0.16730038022813687
26,MN11,Central Harlem South,0.27,0.18,0.14,0.09,0.08,0.05,0.18,79.27000000000002,0.2755905511811024,0.5039370078740157,0.03937007874015748,0.007874015748031496,0.1732283464566929
27,MN34,East Harlem North,0.47,0.22,0.13,0.07,0.04,0.02,0.05,76.61818181818181,0.48344370860927155,0.23841059602649006,0.013245033112582781,0.006622516556291391,0.2582781456953642
