"","NTACode","Cluster"
"1","BK09",2
"2","BK17",2
"3","BK19",3
"4","BK21",1
"5","BK23",2
"6","BK25",2
"7","BK26",1
"8","BK27",2
"9","BK28",3
"10","BK29",3
"11","BK30",3
"12","BK31",2
"13","BK32",3
"14","BK33",2
"15","BK34",3
"16","BK35",3
"17","BK37",2
"18","BK38",2
"19","BK40",2
"20","BK41",3
"21","BK42",3
"22","BK43",2
"23","BK44",3
"24","BK45",2
"25","BK46",3
"26","BK50",1
"27","BK58",2
"28","BK60",3
"29","BK61",3
"30","BK63",1
"31","BK64",2
"32","BK68",2
"33","BK69",2
"34","BK72",3
"35","BK73",2
"36","BK75",3
"37","BK76",2
"38","BK77",3
"39","BK78",3
"40","BK79",3
"41","BK81",1
"42","BK82",1
"43","BK83",1
"44","BK85",1
"45","BK88",3
"46","BK90",3
"47","BK91",1
"48","BK93",1
"49","BK95",3
"50","BK96",1
"51","MN01",2
"52","MN03",3
"53","MN04",3
"54","MN06",3
"55","MN09",2
"56","MN11",2
"57","MN12",2
"58","MN13",2
"59","MN14",2
"60","MN15",2
"61","MN17",2
"62","MN19",2
"63","MN20",2
"64","MN21",2
"65","MN22",2
"66","MN23",2
"67","MN24",2
"68","MN25",2
"69","MN27",2
"70","MN28",3
"71","MN31",2
"72","MN32",2
"73","MN33",3
"74","MN34",3
"75","MN35",3
"76","MN36",3
"77","MN40",2
"78","MN50",2
