,id,alias,name,is_closed,review_cou,rating,price,categories,latitude,longitude,address,city,zipcode,state,country,index_right,NTACode,NTAName,0-25k,25-50k,50-75k,75-100k,100-125k,125-150k,> 150k,MeanLifeExp
0,ksksxd8J2SIs97ccPFV75A,brown-sugar-restaurant-new-york,Brown Sugar Restaurant,0,204,3.5,$$,"cuban,seafood,steak",40.869926,-73.91546600000001,5060 Broadway,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
1,IHGm6huN_Z48KdorBjztSQ,guacamole-taqueria-new-york,Guacamole Taqueria,0,122,3.5,$$,mexican,40.86952,-73.91674,5025 Broadway,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
2,rUBFgZU3QTk7IOgpccE8Og,indian-road-cafe-new-york,Indian Road Cafe,0,580,4.0,$$,"coffee,newamerican,bars",40.87291516,-73.91844082,600 W 218th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
3,AflnoQBr01QmQIq5hVH-iA,la-essencia-restaurant-new-york,La Essencia Restaurant,0,13,3.5,$$,"mexican,dominican",40.870870000000004,-73.91505,5085 Broadway Ave,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
4,8o-B_1q4XB48CmdaXdm2KQ,raices-new-york,Raices,0,127,3.5,$$,"bars,latin",40.86633,-73.92016,565 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
5,lS_pyqnLHaw_MqxOMZomLw,sahara-cafe-and-lounge-new-york,Sahara Cafe & Lounge,0,28,3.5,$$,"lounges,latin,hookah_bars",40.86928272,-73.91557192,4026 10th Ave,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
6,qrNV4MrUYgtWkYm2CMUNgQ,restaurante-ecuatoriano-génesis-new-york-2,Restaurante Ecuatoriano Génesis,0,7,4.5,$$,latin,40.8655,-73.91999,538 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
7,fUl4oP4XLyyFi_EgIZwK9g,cafe-tabaco-and-ron-new-york,Cafe Tabaco & Ron,0,91,3.0,$$,latin,40.86907,-73.91585,501 W 214th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
8,D37laxSajXqhhsaCYo4WSw,taqueria-emilio-new-york,Taqueria Emilio,0,47,4.5,$,mexican,40.86622203,-73.92013561,563 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
9,45jGb_7HFK9Nz7MZSJ0gDQ,park-terrace-deli-new-york,Park Terrace Deli,0,79,3.0,$,"delis,bagels",40.87131524,-73.91464442,510 W 218th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
10,yWcSoa4nzNWXH14wHrxUvA,monkey-brothers-lab-new-york,Monkey Brothers Lab,0,18,3.5,$$,"foodtrucks,empanadas,burgers",40.86757,-73.91705,3966 10th Ave,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
11,U1I4gHO_bVhRv1D--JhklQ,el-tina-fish-market-new-york,El Tina Fish Market,0,50,4.0,$$,"seafood,seafoodmarkets",40.864453499999996,-73.9193338,500 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
12,FPGPTHWf5wXDsTJeMTqhGA,genesis-manhattan,Genesis,0,22,4.0,$$,latin,40.8655,-73.91999,538W 207th St,Manhattan,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
13,3QL775s9XyFzC75htzH6Qg,cocina-latina-restaurant-new-york-2,Cocina Latina Restaurant,0,8,3.5,$$,"latin,dominican,spanish",40.86811437,-73.91909825,4986 Broadway,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
14,FIauc3AaAeDR9u4gMtKmRQ,made-in-mexico-new-york,Made In Mexico,0,274,2.5,$$,mexican,40.86716022,-73.91728982,3950 10th Ave,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
15,_6FYombsxJYOUOsQQ24Nkg,el-nuevo-sabor-new-york-2,El Nuevo Sabor,0,11,2.5,$$,dominican,40.869440000000004,-73.91552,4032 10th Ave,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
16,kTKmoQ8h5LZILeOk36x7dA,el-lina-restaurant-manhattan,El Lina Restaurant,0,22,4.5,$$,caribbean,40.8642807,-73.91943359,500 W 207th St,Manhattan,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
17,pWq3YAKT4YCRxMjh7QniwA,disfruta-new-york,DisFruta,0,34,4.5,$,"juicebars,icecream,salad",40.86460069,-73.91942397,510 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
18,WAAGa-7SOjz8IsP07fR8WQ,juniors-tacos-manhattan,Junior's Tacos,0,32,3.5,$,"tex-mex,mexican",40.865898,-73.918686,253 Sherman Ave,Manhattan,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
19,jptXnWKw4x4kHYihKLNbZA,la-casa-del-mofongo-new-york-5,La Casa Del Mofongo,0,67,2.0,MISSING,"italian,tapasmallplates,hookah_bars",40.86576511,-73.91969027,546 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
20,Di9XbGyUWTqNYuF3-twRlA,cafe-de-broadway-new-york-2,Cafe De Broadway,0,56,2.5,$$,"newamerican,breakfast_brunch,cafes",40.868159999999996,-73.91848,4996 Broadway,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
21,CC7v0W2wHw2O7E3Mwkub5w,stop-809-new-york,Stop 809,0,13,3.0,$,dominican,40.86554079,-73.91969047,537 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
22,VUsjoFZ15OVQ4Ol7zt80zg,la-lomita-mexican-deli-new-york,La Lomita Mexican Deli,0,28,4.0,$,mexican,40.8641999,-73.91936,3868 10th Ave,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
23,T5-ko-W-TNcMPbMViKxXdA,johns-fried-chicken-new-york,John's Fried Chicken,0,55,3.5,$,"dominican,latin,chickenshop",40.86487841,-73.91953759,512 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
24,VlWTXdRDkhYz6-iU2cjKGQ,grandpas-brick-oven-pizza-new-york,Grandpa's Brick Oven Pizza,0,173,3.5,$,"pizza,italian,wraps",40.868317700000006,-73.9195183,4973 Broadway,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
25,6FUzOZZ5t-YYg0T2uyAD9A,sandwich-girl-miami-2,Sandwich Girl,0,2,4.5,MISSING,"sandwiches,foodtrucks",40.867836,-73.92055511,,Miami,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
26,EZ8HzAGCv3aD2amCZzKCTA,el-viejo-jobo-restaurant-new-york,El Viejo Jobo Restaurant,0,6,2.5,$$,latin,40.865658,-73.91954,231 Sherman Ave,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
27,X3oOvBNKrYfSKSOBLV0Jyg,gardenia-salad-bar-new-york,Gardenia Salad Bar,0,16,2.0,$$,salad,40.86837,-73.91937,4979 Broadway,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
28,L_ywJAgHsKbdnxx1Ror28w,d-fruit-opia-new-york,D'Fruit-Opia,0,1,5.0,MISSING,"sandwiches,juicebars,latin",40.86463,-73.91943,510 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
29,682tbIUxjAvPG2fRdOFkeQ,el-valle-seafood-restaurant-new-york-2,El Valle Seafood Restaurant,0,7,2.0,$,"seafood,dominican",40.865660999999996,-73.919539,231 Sherman Ave,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
30,skEDkjqJWMEjU0YRL8Kojg,jr-primos-ii-restaurant-new-york,JR Primos-Ii Restaurant,0,2,2.0,$,spanish,40.86825776,-73.91905769,4986 Broadway,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
31,lkb8ygOIZNp7IES7xb2uHg,carreons-deli-and-bakery-new-york,Carreon's Deli and Bakery,0,12,3.0,$,"bakeries,bagels,delis",40.86835,-73.91944000000001,4975 Broadway,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
32,Im-7ShkmNuKkW2OXays0xw,kennedy-fried-chicken-and-pizza-new-york-6,Kennedy Fried Chicken and Pizza,0,11,2.5,MISSING,pizza,40.86542,-73.91940059999999,521 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
33,irkUw4Yb46lnfWr_WBBdEw,danny-f-donut-corporation-new-york,Danny F Donut Corporation,0,3,3.0,$,restaurants,40.86425,-73.91931,3868 10th Ave,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
34,7WmYpiHs7h6NeTInkpdfIg,noels-pizza-new-york,Noel's Pizza,0,5,2.5,MISSING,"italian,pizza,sandwiches",40.86601907,-73.92000912,553 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
35,XgtCCdqgBjWiAcRMGeHrVA,papa-johns-pizza-new-york-38,Papa John's Pizza,0,2,1.5,$,pizza,40.86533,-73.91951,523 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
36,6JofyoHOHpF2ho6nmKfedA,delios-pizza-new-york,Delio's Pizza,0,7,2.5,$,pizza,40.866006799999994,-73.9200941,553 W 207th St,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
37,HVeQNs_7zh3m-xCZ1ugslA,beans-and-vines-inwood,Beans and Vines,0,404,4.5,$$,"bars,newamerican,steak",40.86651,-73.92549,4799 Broadway,Inwood,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
39,Hoq8s-NePq6_3QxJhR7oNA,bocaditos-bistro-new-york,Bocaditos Bistro,0,380,4.5,$$,"breakfast_brunch,tapasmallplates,wine_bars",40.86684983,-73.92399084,4863 Broadway,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
41,DCjRqV6kRPU0h-MaRRcVrQ,inwood-bar-and-grill-new-york,Inwood Bar and Grill,0,375,3.5,$$,"sportsbars,venues,steak",40.8670387,-73.9223929,4892 Broadway,New York,10034,NY,US,11,MN01,Marble Hill-Inwood,0.32,0.21,0.15,0.14,0.07,0.04,0.07,84.02857142857142
