,NTAName,375 Fries,5 Boroughs Pizza,Amazon Go,American Trash,Amsterdam Gourmet,Arby's,Armonie,At the Wallace,Auntie Anne's Pretzels,"Auntie Anne's Pretzels, Cinnabon & Carvel",Ben's Buffalo Wings,Berlin Doner,Big Nick's Burger & Pizza Joint Too,Billy's Hot Dog Cart,Bonsignour,Burger Heaven,Burger Heights,Burger King,BurgerFi,Burgers By Honest Chops,Cafe Metro,Cafe Spice Express,Cajun Cafe,Charley's Grilled Subs,Charlie's Fashion Hot Dogs,Checkers,Chelsea Papaya,Chick-N-Teriyaki,Chick-fil-A,Chicken Bar,China Wok,Chipotle Mexican Grill,Chirp,Chirping Chicken,Cocu,Crif Dogs,Crown Fried Chicken,Dairy Queen Grill & Chill,Danish Dogs,Dirty Bird To Go,Dog And Bone,Dunkin' Donuts / Baskin Robbins,Dyckman Dogs,ESSEN,Eat  Sherman Creek,Empanadas Monumental,Essen Fast Slow Food,Falafel On Broadway,Falafel Tarboosh,Feng Shun Chang Kitchen,Five Guys,Five Guys Burgers & Fries,Food Merchants,Frankies Dogs On The Go,Friendly's Hot Dogs,Go! Go! Curry!,Gogi Grill - Chelsea,Gray's Papaya,Halal Cart,Harlem Burger Co,Hong Kong Food Town,Hot Dog Cart,Hot Dog Cart At South End Ave,Hotdog Stand,Izzies Cheesesteaks,Jenny's Marketplace,Jimbo's Hamburgers,Joe’s Steam Rice Roll,Jollibee,KFC,Kennedy Fried Chicken,Kennedy's Chicken & Grill,King Food Restaurant,Kosher Deluxe,Krispy Krunchy Chicken,L A Gourmet Deli,Lenox Fast Food,Little Caeser's Pizza,Little Tokyo,Madison Square Express Food Cart,Manhattan Diner,Mario's Gourmet Deli,Marty's V Burger,McDonald's,McDonald’s,Metroarepas,Mr Bing,Mr. Bing,My Belly's Playlist,NY Brat Factory,Nathan's Famous,Nathan's Famous Food Truck,Nathans Famous,New York Chicken Market,Nyc Hot Dogs,Oche A Tu Gusto,Oriental Palace Restaurant,Otto's Tacos,Panda Express,Papaya Dog,Papaya King,Pizza Hut Express,Popeyes Louisiana Kitchen,Potbelly Sandwich Shop,Pretzelcart,Prince St. and Broadway Hot Dog Cart,Ranch 1,Ray's Candy Store,Rudy's Bar & Grill,Sabrett Hot Dog Cart,Sabrett Hot Dog Stand,Schnippers,Shake Shack,SnackBOX,Snap Dog,Snax Spot,Soho 99 Cents,Sons of Thunder,Springbone Kitchen,Sticky's Finger Joint,Subway,Subway Restaurants,Sushi-teria,TKK Fried Chicken,Taco Bell,Taco Bell Cantina,Texas Chicken & Burgers,The Casbah - Halal Cart,The Mark Hot Dog,The Nugget Spot,The Rice Noodle,Tibetan Nomad Momo,Trader's Express Deli,Underdog,United Fried Chicken,Urbanspace At 570 Lex,Villa Pizza,Village Fried Chicken,Wah Fung No 1 Fast Food,Wendy's,Westville - Wall St,White Castle,Wok To Walk,Wonder Fried Chicken & Pizza,Yaso Noodle Bar,Yia Yia's- Homemade Greek Food,Total
0,Battery Park City-Lower Manhattan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,31
1,Central Harlem North-Polo Grounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11
2,Central Harlem South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,17
3,Chinatown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
4,Clinton,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
5,East Harlem North,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15
6,East Harlem South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
7,East Village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
8,Gramercy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13
9,Hamilton Heights,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10
